name	x	y	linkId
S Hennigsdorf Bhf	4581723.75254089	5834637.7507245	14665
S Rahnsdorf (Berlin)	4615102.2413198	5814482.11335511	16121
S Bornholmer Str. (Berlin)	4594911.33986489	5825551.36227807	27557
S Hohenschönhausen Bhf (Berlin)	4602659.33293034	5826960.12190927	10029
S Schönfließ	4590795.80961931	5837698.35933947	110273
S Zepernick	4603834.40437006	5837353.74382144	154289
S Plänterwald (Berlin)	4600251.31458203	5817193.31977164	155213
S Schichauweg (Berlin)	4594675.91271264	5808159.88719799	36801
S Friedenau (Berlin)	4591204.29785486	5816046.32097648	30599
S Bergfelde	4589496.21571184	5838242.35345309	15041
S Hegermühle	4626731.42276863	5825634.40557242	26702
S Wollankstr. (Berlin)	4594571.24020469	5826681.38180607	159205
S Springpfuhl (Berlin)	4604411.29080373	5822521.30066193	29614
S Griebnitzsee Bhf	4576881.05765744	5807360.31899615	140665
S Blankenfelde (TF) Bhf	4596634.43335028	5801334.62833861	128948
S Königs Wusterhausen Bhf	4611396.44071062	5797166.66217366	22758
S Schulzendorf (Berlin)	4584475.20733031	5831899.37374987	49965
S Pankow-Heinersdorf (Berlin)	4596980.29661473	5828134.29950017	25888
S Strausberg Bhf	4624608.40188866	5823723.39396748	10092
S Birkenstein	4612096.5670225	5821576.4904013	20960
S Johannisthal (Berlin)	4603723.33170726	5813700.32892687	98305
S Nöldnerplatz (Berlin)	4600892.32450809	5819958.36873501	80235
S Buch (Berlin)	4601134.41835636	5834752.06110468	75423
S Grünbergallee (Berlin)	4605140.34930445	5808481.20521601	87572
S Osdorfer Str. (Berlin)	4589492.25188562	5810268.23095446	56038
S Buckower Chaussee (Berlin)	4594175.16956351	5809538.85102896	63510
S Lichterfelde Süd (Berlin)	4589155.24782277	5809325.26121982	114119
S Petershagen Nord	4621625.66257861	5823272.68514461	66957
S Baumschulenweg (Berlin)	4601328.29166496	5815975.27568777	22170
S Frohnau (Berlin)	4587412.17664464	5834115.41234001	156271
S+U Karl-Bonhoeffer-Nervenklinik (Berlin)	4590460.24657233	5828072.39585757	79680
S Strausberg Stadt	4628105.85298267	5828849.46284123	71096
S Heerstr. (Berlin)	4585546.92420817	5820229.39385028	5962
